4	Thallium reinjection after stress-redistribution imaging. Does 24-hour delayed imaging after reinjection enhance detection of viable myocardium? BACKGROUND. Thallium reinjection immediately after conventional stress-redistribution imaging improves the detection of viable myocardium, as many myocardial regions with apparently "irreversible" thallium defects on standard 3-4-hour redistribution images manifest enhanced thallium uptake after reinjection. Because the 10-minute period between reinjection and imaging may be too short, the present study was designed to determine whether 24-hour imaging after thallium reinjection provides additional information regarding myocardial viability beyond that obtained by imaging shortly after reinjection. METHODS AND RESULTS. We studied 50 patients with chronic stable coronary artery disease undergoing exercise thallium tomography, radionuclide angiography, and coronary arteriography. Immediately after the 3-4-hour redistribution images were obtained, 1 mCi thallium was injected at rest, and images were reacquired at 10 minutes and 24 hours after reinjection. The stress, redistribution, reinjection, and 24-hour images were then analyzed qualitatively and quantitatively. Of the 127 abnormal myocardial regions on the stress images, 55 had persistent defects on redistribution images by qualitative analysis, of which 25 (45%) demonstrated improved thallium uptake after reinjection. At the 24-hour study, 23 of the 25 regions (92%) with previously improved thallium uptake by reinjection showed no further improvement. Similarly, of the 30 regions determined to have irreversible defects after reinjection, 29 (97%) remained irreversible on 24-hour images. These findings were confirmed by the quantitative analysis. The mean normalized thallium activity in regions with enhanced thallium activity after reinjection increased from 57 +/- 13% on redistribution studies to 70 +/- 14% after reinjection but did not change at 24 hours (71 +/- 14%). In regions with irreversible defects that were unaltered by reinjection, mean regional thallium activity did not differ from the reinjection to the 24-hour studies (57 +/- 17% and 58 +/- 17%, respectively). Twenty-four-hour imaging after reinjection showed improvement in only four of 35 irreversible regions (involving three of the 50 patients). CONCLUSIONS. These data indicate that thallium reinjection at rest after 3-4 hours of redistribution provides most of the clinically relevant information pertaining to myocardial viability in regions with apparently irreversible thallium defects. Hence, thallium reinjection may be used instead of 24-hour imaging in most patients in whom a persistent thallium defect is observed on conventional redistribution images. 
5	Laparoscopic guided cholecystectomy. Cholecystectomy remains the most effective form of therapy for patients with symptomatic cholelithiasis. An alternative method of gallbladder removal, laparoscopic guided cholecystectomy, was attempted in 100 patients. Five patients required conversion of the laparoscopic procedure to an open laparotomy for the following reasons: discovery of a pancreatic malignancy in one patient, extensive adhesions in one, presence of an aberrant accessory right hepatic duct in one, common hepatic duct injury in one, and avulsion of the cystic duct in one. Both ductal injuries occurred during the early phase of the clinical program. In those patients undergoing laparoscopic cholecystectomy, 93 were discharged within 24 hours of surgery and 94 returned to normal activity within 1 week. Laparoscopic guided cholecystectomy appears to offer a number of advantages in patient care as well as a significant reduction in health care expenses for gallbladder disease. Appropriate training in laparoscopic surgery is necessary in order to avoid operative complications. 
3	Neuroexcitatory plasma amino acids are elevated in migraine. To investigate the role of glutamic (Glu) and aspartic acid (Asp) in migraine, we measured the plasma amino acids in migraine patients with and without aura, between and during attacks, and compared the profiles with the plasma amino acid profiles of tension headache patients and healthy controls. Between attacks, migraineurs (notably with aura) had substantially higher plasma Glu and Asp levels than did controls and tension headache patients. In addition, patients with migraine without aura showed low plasma histidine levels. During migraine attacks, Glu (and to a lesser extent Asp) levels were even further increased. The results suggest a defective cellular reuptake mechanism for Glu and Asp in migraineurs, and we hypothesize a similar defect at the neuronal/glial cell level, predisposing the brain of migraineurs to develop spreading depression. 
5	Clinical, radiographic, and hemodynamic correlations in chronic congestive heart failure: conflicting results may lead to inappropriate care. PURPOSE: Clinical and radiographic examinations are commonly used for estimating severity and titrating therapy of chronic congestive heart failure. The purpose of this study was to establish the relationship between findings on history, physical examination, chest roentgenogram, and pulmonary capillary wedge pressure (PCWP). PATIENTS AND METHODS: Fifty-two consecutive patients with chronic congestive heart failure, referred for evaluation for heart transplantation, were studied; all patients underwent history, physical examination, upright chest roentgenogram, and cardiac catheterization. The mean left ventricular ejection fraction was 0.19 +/- 0.06. Patients were divided into three groups according to their PCWP: Group 1, normal PCWP (less than or equal to 15 mm Hg, n = 19); Group 2, mild to moderately elevated PCWP (16 to 29 mm Hg, n = 15); Group 3, markedly elevated PCWP (greater than or equal to 30 mm Hg, n = 18). RESULTS: Physical and radiographic signs of congestion were more common in the groups with higher PCWP, but they could not be used to reliably separate patients with different filling pressures. Physical findings (orthopnea, edema, rales, third heart sound, elevated jugular venous pressure) or radiographic signs (cardiomegaly, vascular redistribution, and interstitial and alveolar edema) had poor predictive value for identifying patients with PCWP values greater than or equal to 30 mm Hg. These findings had poor negative predictive value to exclude significantly elevated PCWP (greater than 20 mm Hg). Radiographic pulmonary congestion was absent in eight (53%) patients in Group 2 and seven (39%) in Group 3. In patients in Group 2 and 3, those without radiographic congestion were in a better New York Heart Association functional class (3.5 +/- 0.5 versus 2.8 +/- 0.6, p less than 0.01). There was good correlation between right atrial pressure and PCWP (r = 0.64, p less than 0.001). A normal right atrial pressure had no predictive value, but a pressure greater than 10 mm Hg was seen in all but one patient with a PCWP value greater than 20 mm Hg. CONCLUSION: Clinical, radiographic, and hemodynamic evaluations of chronic congestive heart failure yield conflicting results. Absence of radiographic or physical signs of congestion does not ensure normal PCWP values and may lead to inaccurate diagnosis and inadequate therapy. It is not known whether therapy aimed at normalizing PCWP is superior to relieving clinical and radiographic signs of congestion. 
5	Cross-linked hemoglobin solution as a resuscitative fluid after hemorrhage in the rat. Intramolecularly (alpha-alpha) cross-linked hemoglobin has been reported to have oxygen transport properties similar to those of whole blood. The present study evaluated the efficacy of diaspirin alpha-alpha cross-linked hemoglobin solution as a resuscitation fluid, with heart rate, mean arterial pressure, and transcutaneous oxygen tension as the study parameters. Rats were bled and approximately one third of their total blood volume (20 ml/kg) was removed while they were anesthetized; they were then resuscitated with 14% hemoglobin solution. Animals that received either 10 mg/kg (n = 10) or 20 mg/kg (n = 10) of hemoglobin solution responded quickly and positively to the infusions: mean arterial pressure (which had dropped to less than 40% of prehemorrhage levels) returned to baseline within 2 minutes of initiating infusion; by 4 minutes, the mean arterial pressures of the hemoglobin-infused groups were significantly higher (p less than or equal to 0.05) than those in both the autologous shed blood (n = 8) and lactated Ringer's (n = 10) groups. The heart rate and transcutaneous oxygen tension responses in both the half-volume and full-volume replacement hemoglobin groups matched the response to autologous shed blood throughout the hour of observation. The favorable hemodynamic response to infusion of cross-linked hemoglobin solution after hemorrhage suggests that this material is comparable to autologous shed blood and superior to lactated Ringer's solution as a resuscitative fluid as assessed in this model. 
2	The role of gastric resection in the management of multicentric argyrophil gastric carcinoids. A patient with pernicious anemia, atrophic non-antral gastritis, hypergastrinemia, and widespread hyperplasia of enterochromaffin-like cells and manifest enterochromaffin-like cell carcinoma was followed up during 39 months, including 15 months after gastric resection. In this case normalization of gastrin levels did not prevent the development of multiple gastric carcinoids in the fundic mucosa, suggesting that factors other than gastrin are of importance in the pathogenesis. 
3	The influence of warning signal timing and cognitive preparation on the aversiveness of electric shock. Many medical and dental procedures are noxious. Finding an optimal way of warning patients concerning the aversive procedures could help them to cope better. A model for the effective use of a warning signal in coping with pain posited that a person needs enough time to be able to react and should possess the skills necessary to utilize the time effectively. It was felt that a very short warning period, e.g., 5 sec, could not be long enough, while a 180 sec warning period would in and of itself become aversive. Reactions to electric shock were obtained from 36 paid, volunteer subjects who were each tested on a within-subject, counterbalanced order at 4 different warning periods: 5, 30, 60, and 180 sec. The subjects were divided into 3 groups: (1) the experimental group was provided with a pretested self-instructional booklet to learn a variety of pain control techniques; (2) the placebo group was provided with a self-instructional booklet on citizenship; (3) the control group waited quietly for 13 min. No significant results were obtained for the different pain-coping conditions. Significant differences, however, were obtained for the various warning periods. Maximum skin resistance changes, higher ratings of pain and of anxiety were obtained for the 60 and 180 compared to the 5 and 30 sec warning periods. Maximum heart rate was obtained for the 30 sec warning. Results were discussed in terms of the psychological meaning of the various measures as well as their clinical implications. 
5	Early diastolic clicks after the Fontan procedure for double inlet left ventricle: anatomical and physiological correlates. M mode echocardiograms and simultaneous phonocardiograms were recorded in four patients with early diastolic clicks on auscultation. All had double inlet left ventricle and had undergone the Fontan procedure with closure of the right atrioventricular valve orifice by an artificial patch. The phonocardiogram confirmed a high frequency sound occurring 60-90 ms after aortic valve closure and coinciding with the time of maximal excursion of the atrioventricular valve patch towards the ventricular mass. One patient had coexisting congenital complete heart block. The M mode echocardiogram showed "reversed" motion of the patch towards the right atrium during atrial contraction. Doppler flow studies showed that coincident with this motion there was forward flow in the pulmonary artery with augmentation when atrial contraction coincided with ventricular systole. The early diastolic click in these patients was explained by abrupt cessation of the motion of the atrioventricular valve patch towards the ventricular mass in early diastole. In one patient atrial contraction led to a reversal of this motion and was associated with forward flow in the pulmonary artery. 
1	SPECT imaging of pediatric brain tumor with hexakis (methoxyisobutylisonitrile) technetium (I). Technetium-99m-Hexamibi [Hexakis (methoxyisobutylisonitrile) technetium (i)] was developed as a myocardial perfusion agent with biologic properties similar to those of thallium-201 (201TI). As 201TI has recently been observed to be of value for the diagnosis of brain tumors when used in conjunction with single-photon emission computed tomography (SPECT) imaging technology, the possibility that the biologic similarity of the two radiopharmaceuticals extended to their affinity for tumors was tested. A 5-yr-old female patient with a brain stem astrocytoma showed marked focal uptake of 99mTc-Hexamibi at the site of tumor recurrence as defined by biopsy and prior 201TI/SPECT study. Tumor-to-normal cortex radioactivity ratios for the 99mTc-Hexamibi/SPECT study were 132:1 and the spatial resolution of the 99mTc-Hexamibi images was high. This observation suggests that 99mTc-Hexamibi merits further study as a potential agent for SPECT imaging of human brain tumors. 
3	The supraspinal anxiolytic effect of baclofen for spasticity reduction. Recent studies in the psychiatric literature indicate that baclofen has an anxiolytic action in certain psychopathologic conditions. Clinical observation has shown that manifestations of spasticity are increased in anxious individuals, implicating a supraspinal site of mediation for these responses. The purposes of this study were to determine if baclofen reduced anxiety in individuals with traumatic spinal cord lesions and whether that reduction was correlated with decreased spasticity from the baclofen. Five adult males with traumatic spinal cord injury were randomly assigned to the study protocol. A double-blind, repeated measures, multiple base-line, single-case research design was employed. The independent variable was dose of medication with the three levels being placebo, 40 mg/day of baclofen and 80 mg/day of baclofen, in four evenly divided doses. The dependent variable was the score obtained on the Beck Inventory-A anxiety scale (BIA). The subjects were administered the BIA twice per week for a nine-week period of time, during which they received the doses of medication as described. Quantitative measurements of spasticity were also taken at each session. Visual inspection analysis of the data showed that two subjects had no measurable anxiety of the BIA throughout the study. Three subjects had measurable anxiety on the BIA during the base-line/placebo phase. They showed a decreased level of their BIA scores with 40 mg/day of baclofen, and a further level reduction with 80 mg/day of baclofen. The reduction in BIA scores was statistically significant using the standard deviation band test in one of these subjects. These data indicate that BIA probably has an anxiolytic effect for individuals status post-traumatic spinal cord injury. 
